file	cluster
445658813.utf8.txt	6
sonespases_877649744.txt	2
349319694.utf8.txt	4
346826356.utf8.txt	4
356758425.utf8.txt	6
sonespases_978832378.txt	2
sonespases_833384059.txt	2
442138380.utf8.txt	6
324272934.utf8.txt	4
327355910.utf8.txt	5
sonespases_957682191.txt	2
450001189.utf8.txt	3
sonespases_830251904.txt	2
349629824.utf8.txt	6
345089871.utf8.txt	3
343009229.utf8.txt	3
387348123.utf8.txt	3
sonespases_833031232.txt	2
sonespases_891563592.txt	2
352296685.utf8.txt	4
364624412.utf8.txt	4
343896987.utf8.txt	6
sonespases_880794020.txt	2
338087955.utf8.txt	6
449246750.utf8.txt	4
449959777.utf8.txt	4
382690258.utf8.txt	4
357403607.utf8.txt	4
371552944.utf8.txt	4
333585327.utf8.txt	3
407560861.utf8.txt	1
367279786.utf8.txt	6
423726726.utf8.txt	7
388833906.utf8.txt	1
453971307.utf8.txt	4
sonespases_909657413.txt	2
sonespases_853562092.txt	2
385360129.utf8.txt	3
363770114.utf8.txt	4
sonespases_944394727.txt	2
428136596.utf8.txt	6
sonespases_866937384.txt	2
422939725.utf8.txt	6
348488237.utf8.txt	7
sonespases_856643081.txt	2
348207789.utf8.txt	6
366467863.utf8.txt	6
396169395.utf8.txt	6
sonespases_863029760.txt	2
453263518.utf8.txt	4
sonespases_888116453.txt	2
370281886.utf8.txt	4
sonespases_862009068.txt	2
375133361.utf8.txt	6
378497148.utf8.txt	6
349900467.utf8.txt	6
418751178.utf8.txt	3
433047774.utf8.txt	7
439845247.utf8.txt	6
433589342.utf8.txt	4
362852685.utf8.txt	6
sonespases_860775511.txt	2
379171178.utf8.txt	5
325143123.utf8.txt	6
333818436.utf8.txt	1
sonespases_840916641.txt	2
393937369.utf8.txt	6
426253509.utf8.txt	4
389119387.utf8.txt	4
447234034.utf8.txt	6
367704886.utf8.txt	6
430342639.utf8.txt	3
398549858.utf8.txt	6
397905807.utf8.txt	3
sonespases_838824998.txt	2
424632400.utf8.txt	3
375735404.utf8.txt	4
348247666.utf8.txt	6
373357265.utf8.txt	4
374431534.utf8.txt	4
346316031.utf8.txt	4
374323310.utf8.txt	6
424558649.utf8.txt	3
322828461.utf8.txt	4
351294830.utf8.txt	6
454234824.utf8.txt	6
442224112.utf8.txt	7
389184520.utf8.txt	4
368742224.utf8.txt	4
453588729.utf8.txt	3
sonespases_951653480.txt	2
sonespases_898755876.txt	2
sonespases_951019360.txt	2
437062388.utf8.txt	7
sonespases_914712002.txt	2
437761695.utf8.txt	7
sonespases_876599194.txt	2
446814184.utf8.txt	6
449964768.utf8.txt	6
367178732.utf8.txt	7
407141164.utf8.txt	5
331520174.utf8.txt	4
sonespases_929424131.txt	2
380223016.utf8.txt	0
445683679.utf8.txt	4
352680372.utf8.txt	5
331505026.utf8.txt	4
391784924.utf8.txt	4
sonespases_973882100.txt	2
385710664.utf8.txt	4
sonespases_878881225.txt	2
418153565.utf8.txt	1
374875260.utf8.txt	5
352608343.utf8.txt	4
429993548.utf8.txt	4
423933669.utf8.txt	6
349864908.utf8.txt	3
358836119.utf8.txt	4
363793949.utf8.txt	5
340600672.utf8.txt	6
364437618.utf8.txt	0
382645916.utf8.txt	4
sonespases_880784294.txt	2
416241844.utf8.txt	4
334917070.utf8.txt	6
452097349.utf8.txt	3
323725311.utf8.txt	6
424220266.utf8.txt	5
371864936.utf8.txt	6
sonespases_903392303.txt	2
376010497.utf8.txt	4
400310476.utf8.txt	6
sonespases_921981944.txt	2
sonespases_901671371.txt	2
sonespases_901014437.txt	2
sonespases_833041685.txt	2
431980497.utf8.txt	5
396349084.utf8.txt	3
428080971.utf8.txt	4
337268238.utf8.txt	3
325116195.utf8.txt	7
438282133.utf8.txt	4
349380437.utf8.txt	6
382238811.utf8.txt	4
sonespases_928005787.txt	2
356737267.utf8.txt	3
343532070.utf8.txt	0
339485340.utf8.txt	4
321007448.utf8.txt	6
349938236.utf8.txt	0
370353124.utf8.txt	7
446256860.utf8.txt	3
420519753.utf8.txt	5
376240266.utf8.txt	6
383120251.utf8.txt	1
sonespases_982290035.txt	2
319163302.utf8.txt	4
sonespases_844367878.txt	2
376843214.utf8.txt	6
sonespases_947734536.txt	2
394005685.utf8.txt	4
437817385.utf8.txt	5
454372151.utf8.txt	4
432379965.utf8.txt	0
sonespases_863740769.txt	2
sonespases_841198011.txt	2
385646658.utf8.txt	6
364064691.utf8.txt	3
372937625.utf8.txt	6
sonespases_947032309.txt	2
409050811.utf8.txt	4
391564816.utf8.txt	4
452046884.utf8.txt	7
363827674.utf8.txt	6
359760175.utf8.txt	4
351879193.utf8.txt	6
330396347.utf8.txt	5
364067904.utf8.txt	3
442251182.utf8.txt	6
sonespases_909622124.txt	2
376858564.utf8.txt	4
445549999.utf8.txt	4
sonespases_938779052.txt	2
349413001.utf8.txt	4
384329438.utf8.txt	6
364169968.utf8.txt	4
333106094.utf8.txt	1
422835700.utf8.txt	4
385643794.utf8.txt	6
331561546.utf8.txt	6
393829900.utf8.txt	0
367149434.utf8.txt	7
334923175.utf8.txt	1
387190240.utf8.txt	4
342027617.utf8.txt	0
366454876.utf8.txt	4
333297301.utf8.txt	6
323965182.utf8.txt	6
405771319.utf8.txt	5
399542820.utf8.txt	4
384962091.utf8.txt	6
348487523.utf8.txt	6
423460278.utf8.txt	4
343843848.utf8.txt	4
394205495.utf8.txt	6
381940535.utf8.txt	1
430896759.utf8.txt	4
410015779.utf8.txt	6
448343118.utf8.txt	6
382309930.utf8.txt	4
326429930.utf8.txt	3
348923060.utf8.txt	6
357275983.utf8.txt	4
326214697.utf8.txt	0
442639647.utf8.txt	5
372643835.utf8.txt	3
357708420.utf8.txt	1
sonespases_857163174.txt	2
sonespases_898785722.txt	2
449900041.utf8.txt	4
sonespases_866264017.txt	2
398403353.utf8.txt	6
359298507.utf8.txt	4
sonespases_899796852.txt	2
350625921.utf8.txt	4
378168958.utf8.txt	4
377799791.utf8.txt	3
362305595.utf8.txt	6
400119304.utf8.txt	6
sonespases_867376484.txt	2
445325233.utf8.txt	1
453716611.utf8.txt	5
390021196.utf8.txt	5
343017821.utf8.txt	3
367121705.utf8.txt	5
447615918.utf8.txt	4
368742816.utf8.txt	0
sonespases_951574782.txt	2
342481420.utf8.txt	3
398252125.utf8.txt	4
324872435.utf8.txt	4
385027082.utf8.txt	4
380904781.utf8.txt	3
351613361.utf8.txt	4
358889317.utf8.txt	6
348885554.utf8.txt	4
330460081.utf8.txt	4
337998116.utf8.txt	5
383159167.utf8.txt	6
399066956.utf8.txt	4
sonespases_912652129.txt	2
405873808.utf8.txt	6
433475856.utf8.txt	0
399408129.utf8.txt	1
sonespases_925865757.txt	2
435622931.utf8.txt	4
391806894.utf8.txt	4
446550252.utf8.txt	5
446136432.utf8.txt	7
349754415.utf8.txt	5
389112558.utf8.txt	1
sonespases_890230022.txt	2
389186600.utf8.txt	6
438568573.utf8.txt	3
393754151.utf8.txt	3
400217714.utf8.txt	4
sonespases_881470630.txt	2
450002907.utf8.txt	3
401548530.utf8.txt	6
433471216.utf8.txt	3
398529500.utf8.txt	5
367034648.utf8.txt	6
343428569.utf8.txt	4
430139535.utf8.txt	3
373634333.utf8.txt	0
415568264.utf8.txt	6
370200746.utf8.txt	1
sonespases_874121662.txt	2
352620914.utf8.txt	4
452276663.utf8.txt	6
331760049.utf8.txt	6
sonespases_947044212.txt	2
389151225.utf8.txt	4
410210966.utf8.txt	4
368970293.utf8.txt	1
sonespases_942657505.txt	2
419484764.utf8.txt	6
421517433.utf8.txt	3
364398966.utf8.txt	5
sonespases_858322876.txt	2
319175189.utf8.txt	6
356771606.utf8.txt	4
443347446.utf8.txt	4
385047619.utf8.txt	7
sonespases_849810736.txt	2
343451223.utf8.txt	7
384745883.utf8.txt	4
324625382.utf8.txt	1
385205688.utf8.txt	3
343520882.utf8.txt	4
sonespases_944326662.txt	2
447940406.utf8.txt	4
338267553.utf8.txt	4
sonespases_837141968.txt	2
389112562.utf8.txt	1
385074721.utf8.txt	3
383554587.utf8.txt	6
434023507.utf8.txt	6
sonespases_902317849.txt	2
364587132.utf8.txt	4
440423475.utf8.txt	5
sonespases_951635859.txt	2
335069115.utf8.txt	1
417749809.utf8.txt	1
359688203.utf8.txt	4
sonespases_925742895.txt	2
sonespases_945966938.txt	2
sonespases_915940228.txt	2
344129628.utf8.txt	4
399380944.utf8.txt	4
432719865.utf8.txt	4
364469921.utf8.txt	3
sonespases_944482451.txt	2
367558222.utf8.txt	4
sonespases_882635839.txt	2
442178392.utf8.txt	6
395180747.utf8.txt	3
439141972.utf8.txt	4
324204585.utf8.txt	3
374431528.utf8.txt	4
sonespases_901716541.txt	2
359746675.utf8.txt	5
388385062.utf8.txt	4
327884623.utf8.txt	0
377259358.utf8.txt	4
370257114.utf8.txt	4
369004130.utf8.txt	6
